YEAR,SEX,`0-4,`5-9,`10-14,`15-19,`20-24,`25-29,`30-34,`35-39,`40-44,`45-49,`50-54,`55-59,`60-64,`65-69,`70-74,`75-79,`80-84,`85+
1950,Males,8812309,7044162,5889577,5667770,6104796,6407134,6044506,5750957,5327980,4325273,4286748,3781547,3303803,2613479,1673112,1022797,489418,285058
1955,Males,9850831,8794281,7126352,5740712,5383040,6107933,6403914,6024706,5670617,5003147,4444298,3939862,3506303,2831526,1947129,1191502,622947,299406
1960,Males,10616603,9855972,8837528,6937575,5752760,5797613,6191267,6405705,5944595,5567024,5061760,4148769,3579766,2969533,2142516,1413415,687951,363568
1965,Males,10184962,10671405,9928007,8801423,6904199,5926167,5893518,6175279,6330881,5802034,5334064,4783445,3656760,3039163,2320512,1547260,801335,408553
1970,Males,9098650,10442744,10751495,9888287,8291621,7050509,6041122,5829148,6138904,6212803,5583013,4969422,4213610,3137716,2349580,1632604,902787,477933
1975,Males,8470606,9170162,10547036,10790671,9945959,8858006,7217125,5989894,5847030,6007630,5943059,5207044,4463684,3644542,2410818,1684845,1010428,567256
1980,Males,8533794,8578253,9478749,10786400,10821692,9928491,8841990,6948286,5888565,5572445,5696464,5543528,4749798,3973122,2933931,1870695,995451,686493
1985,Males,9250607,8682050,8860209,9749032,10828349,11012100,10134470,8773360,6984514,5834933,5451362,5422487,5126124,4253650,3204998,2191876,1153531,730997
1990,Males,9804252,9408549,9041267,9311525,9949157,10777598,11141317,10107724,8918459,6873896,5714242,5196455,5060208,4585868,3491675,2460050,1379093,824576
1995,Males,10080674,9990479,9928056,9596305,9420203,10020442,11245237,11277045,10073917,8650031,6753152,5472219,4895249,4573104,3859422,2722518,1548102,1004950
2000,Males,9954437,10542922,10614985,10520887,9952416,9895426,10467384,11376358,11257072,10054783,8682580,6561292,5254714,4511695,3939208,3068518,1858762,1158431
2005,Males,10276457,10062436,10951432,11137798,10869770,9996996,10038758,10522765,11301521,11130227,9901920,8463986,6282449,4897826,3974847,3188275,2100444,1418731
2010,Males,10441328,10492472,10720353,11337175,11159997,10803898,10217920,10137871,10533233,11219644,11027846,9662251,8124363,5897593,4348822,3268556,2356956,1779000
2015,Males,10787919,10631965,10770732,11025313,11600579,11384906,10983817,10328688,10158751,10453736,11013031,10688882,9216931,7561498,5277727,3640784,2442298,2110347
2020,Males,10055063,10246393,10777513,10834321,11322732,12144455,11702514,10858871,10118582,9969099,10319535,10702065,10049886,8465274,6645519,4326986,2805623,2441585
2025,Males,10394420,10103487,10285877,11001063,11222061,11652928,12343116,11796316,10871932,10054287,9800448,9994384,10168642,9325736,7594651,5635546,3324930,2825387
2030,Males,10634887,10447753,10147063,10527667,11419590,11582280,11877823,12446994,11813360,10811699,9902315,9517927,9533698,9489286,8435830,6520004,4409666,3424589
2035,Males,10683932,10694274,10495558,10408390,10983353,11811877,11832882,12007410,12477580,11762862,10671940,9653134,9132281,8973652,8691154,7376911,5244589,4616592
2040,Males,10672622,10745385,10743385,10761907,10874686,11389040,12068766,11971140,12052527,12431017,11621801,10422873,9292827,8639847,8280334,7684003,6032387,5922721
2045,Males,10632401,10735813,10795702,11013633,11235119,11289676,11657239,12212414,12025645,12022965,12294677,11369736,10062661,8831643,8026301,7394857,6379446,7256722
2050,Males,10639285,10696967,10786939,11068898,11492067,11654664,11565218,11811458,12272815,12007042,11908754,12048230,11005318,9601378,8254157,7233917,6225667,8306434
2055,Males,10753510,10704484,10748537,11061006,11549389,11913564,11931316,11725225,11881809,12260189,11905691,11690664,11688654,10535657,9018016,7496046,6162214,8820092
2060,Males,10928845,10819168,10756371,11023281,11543398,11974014,12192413,12093134,11801951,11880724,12166260,11704218,11366586,11222145,9937121,8242439,6449900,9096177
